Provider_Number,Network,Facility_Name,Five_Star_Date,Five_Star,Five_Star_Data_Availability_Code,Address_Line_1,Address_Line_2,City,State,Zip,County,Profit_or_NonProfit,Chain_Owned,Chain_Organization,#_of_Dialysis_Stations,Offers_in-center_hemodialysis,Offers_peritoneal_dialysis,Offers_home_hemodialysis_training,Patient_Transfusion_category_text,Number_of_patients_included_in_the_transfusion_summary,Number_of_patients_in_hypercalcemia_summary,Number_of_patient-months_in_hypercalcemia_summary,Number_of_patients_in_Serum_phosphorus_summary,Number_of_patient-months_in_Serum_phosphorus_summary_,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,patients_included_hospitalization_summary,hospitalizations_in_hospital_readmission_summary,Number_of_Patients_included_in_survival_summary,Mortality_Rate_(Facility),Readmission_Rate_(Facility),Hospitalization_Rate_(Facility),Patient_Infection_category_text,Transfusion_Rate_(Facility),Fistula_Category_Text,Number_of_Patients_included_in_fistula_summary,Fistula_Rate_(Facility),Number_of_patients_in_long_term_catheter_summary,Number_of_patient_months_in_long_term_catheter_summary,Number_of_patients_in_nPCR_summary,Number_of_patient-months_in_nPCR_summary,SWR_category_text,Number_of_patients_in_this_facility_for_SWR,PPPW_category_text,Number_of_patients_for_PPPW
12533,8,DAVITA WALKER COUNTY DIALYSIS,01/01/2016-12/31/2019,4,1,260 6TH AVENUE NORTHWEST,,JASPER,AL,35504,WALKER,Profit,Yes,DAVITA,13,1,1,1,Worse than Expected,35,49,449,52,472,Worse than Expected,As Expected,As Expected,38,76,157,28.1,31.8,328.4,Worse than Expected,62.4,As Expected,47,73.7,47,433,0,,Not Available,24,As Expected,46
12534,8,BESSEMER KIDNEY CENTER,01/01/2016-12/31/2019,3,1,975 9TH AVE SW,SUITE 500,BESSEMER,AL,35022,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,36,1,0,0,Worse than Expected,48,74,696,81,737,As Expected,As Expected,As Expected,52,52,229,28.2,26.9,190.8,As Expected,53.6,Worse than Expected,80,33.8,80,725,0,,As Expected,38,As Expected,64
12525,8,FMC WEST MOBILE,01/01/2016-12/31/2019,5,1,6601 WALL STREET,SUITE A,MOBILE,AL,36695,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,20,1,0,0,As Expected,63,88,873,90,892,As Expected,As Expected,Better than Expected,71,93,306,14.4,25.8,202.1,Better than Expected,23.5,As Expected,90,55.9,90,888,0,,As Expected,15,As Expected,63
12526,8,RCG PRINCETON,01/01/2016-12/31/2019,3,1,708 COTTON AVE SW,,BIRMINGHAM,AL,35211,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,34,1,1,1,Worse than Expected,70,111,1128,111,1110,As Expected,As Expected,As Expected,77,111,380,25.2,32.6,241.3,Better than Expected,48.9,Worse than Expected,111,36.6,111,1129,0,,As Expected,38,As Expected,86
12527,8,DCI ENTERPRISE,01/01/2016-12/31/2019,5,1,3861 SALEM ROAD,,ENTERPRISE,AL,36330,COFFEE,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",26,1,1,1,As Expected,43,61,590,64,603,As Expected,As Expected,As Expected,46,43,216,23.6,27.8,127.8,As Expected,15.8,As Expected,63,65.9,63,589,1,2,Not Available,24,As Expected,47
12501,8,DAVITA GADSDEN DIALYSIS,01/01/2016-12/31/2019,4,1,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,ETOWAH,Profit,Yes,DAVITA,24,1,0,0,As Expected,30,47,414,49,430,Worse than Expected,Worse than Expected,As Expected,37,62,176,27.8,40,336,As Expected,26.6,As Expected,49,65.9,49,418,0,,As Expected,34,As Expected,43
12502,8,DAVITA TUSCALOOSA UNIVERSITY DIALYSIS,01/01/2016-12/31/2019,3,1,220 15TH STREET,,TUSCALOOSA,AL,35401,TUSCALOOSA,Profit,Yes,DAVITA,23,1,1,0,As Expected,92,131,1216,140,1261,As Expected,As Expected,As Expected,104,136,440,21.8,29.7,179.8,As Expected,8.5,As Expected,127,50.5,127,1172,0,,As Expected,57,As Expected,112
12505,8,DAVITA PDI-MONTGOMERY,01/01/2016-12/31/2019,3,1,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,MONTGOMERY,Profit,Yes,DAVITA,18,1,1,1,As Expected,68,107,921,107,932,As Expected,As Expected,As Expected,76,89,323,24.9,25.9,219.7,As Expected,19.7,As Expected,82,54.6,82,700,0,,As Expected,31,As Expected,91
12506,8,DAVITA DOTHAN DIALYSIS,01/01/2016-12/31/2019,3,1,216 GRACELAND DR.,,DOTHAN,AL,36305,HOUSTON,Profit,Yes,DAVITA,27,1,1,1,As Expected,60,75,625,79,655,Worse than Expected,As Expected,Worse than Expected,63,81,283,29.7,34.7,298.8,As Expected,44.2,As Expected,82,56.9,82,659,0,,Not Available,22,As Expected,78
12507,8,FMC MOBILE,01/01/2016-12/31/2019,5,1,2620 OLD SHELL RD,,MOBILE,AL,36607,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,0,0,As Expected,77,123,1133,125,1172,As Expected,As Expected,As Expected,88,80,374,24.9,20.4,166.5,As Expected,4.7,As Expected,126,52.2,126,1175,0,,As Expected,33,As Expected,110
12528,8,FMC CAHABA VALLEY,01/01/2016-12/31/2019,3,1,120 CAHABA VALLEY PARKWAY,SUITE 150,PELHAM,AL,35124,SHELBY,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,0,0,As Expected,43,68,583,72,588,As Expected,As Expected,As Expected,53,46,207,20.8,34,221.5,As Expected,26.6,As Expected,72,53.5,72,595,0,,As Expected,22,As Expected,53
12529,8,DAVITA FLORENCE DIALYSIS,01/01/2016-12/31/2019,5,1,422 EAST DR. HICKS BLVD,,FLORENCE,AL,35630,LAUDERDALE,Profit,Yes,DAVITA,18,1,1,0,As Expected,105,130,1158,139,1202,As Expected,As Expected,As Expected,112,136,489,24.9,27,186.3,As Expected,14.4,As Expected,99,72.6,99,873,0,,As Expected,70,As Expected,116
12530,8,RAI EAST 11TH ST ANNISTON,01/01/2016-12/31/2019,3,1,522 EAST 11TH STREET,1ST FLOOR,ANNISTON,AL,36207,CALHOUN,Profit,No,INDEPENDENT,21,1,0,0,As Expected,61,84,789,90,819,As Expected,As Expected,Worse than Expected,71,84,309,31.5,22.5,187.8,Better than Expected,30.6,As Expected,89,54.8,89,813,1,3,As Expected,48,As Expected,82
12306,8,CHILDRENS HOSPITAL DIALYSIS,01/01/2016-12/31/2019,,260,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,JEFFERSON,Non-Profit,No,INDEPENDENT,7,1,1,1,Not Available,2,1,5,3,10,As Expected,Not Available,Not Available,12,9,65,,,138.7,Not Available,,Not Available,2,,2,8,14,74,As Expected,22,As Expected,27
